"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"9275","cfc57e2efb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_em",-0.512912240647443,3.35626369998921,"#1C75BC","#59C1BD"
"9276","fde1204aff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_cm",-0.782878783368238,0.974343839149363,"#00AEEF","#59C1BD"
"9277","d62f1518fb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_naive",0.426252874709002,-2.38890140964519,"#93A7D1","#59C1BD"
"9278","45b0e43cfb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_naive",-1.66915285943515,-0.316028174896352,"#93A7D1","#59C1BD"
"9279","d06f9dcafb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.85963132681764,-2.21091884090435,"#93A7D1","#59C1BD"
"9280","ed2a4ae2fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_cm",0.0838767617710749,1.42487293766011,"#00AEEF","#59C1BD"
"9281","f4b4295efb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_em",-0.0437165171138127,4.08500057743061,"#1C75BC","#59C1BD"
"9282","cbf6066efb7e11edb9e426a51887eecf","lenalidomide",24,"t_cd8_naive",-6.88577386441148,0.962157311897166,"#8DC63F","#59C1BD"
"9283","bdbb2270fb8111edb32712c42668f295","lenalidomide",24,"t_cd4_naive",-1.18828805985368,-3.16476922943126,"#93A7D1","#59C1BD"
"9284","fd33bb4eff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd8_naive",-6.58807107510484,0.394456449012645,"#8DC63F","#59C1BD"
"9285","4577161cfb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd4_cm",0.22435978350722,2.32682568119038,"#00AEEF","#59C1BD"
"9286","17e95ec6fb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd8_naive",-5.60337516369737,0.837128940086253,"#8DC63F","#59C1BD"
"9287","30742faefb8311ed9fae72654f839162","lenalidomide",24,"t_cd8_memory",-3.74625345768846,3.1231322912978,"#009444","#59C1BD"
"9288","7824af0cfb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_cm",-0.165300574921735,2.63913971469868,"#00AEEF","#59C1BD"
"9289","cd84428cfb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_cm",-0.446580734871991,2.46258551166523,"#00AEEF","#59C1BD"
"9290","9b614d04fb8011edb519365d129239e0","lenalidomide",24,"t_cd4_treg",4.41038015780532,0.737190785865672,"#E57A93","#59C1BD"
"9291","17d72d96fb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd8_naive",-5.92891999783433,0.699347081642039,"#8DC63F","#59C1BD"
"9292","c47cb4a8fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd8_memory",-3.47108408512987,5.40135771320332,"#009444","#59C1BD"
"9293","fa7d95beff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_em",-0.33495053353227,3.3098908095168,"#1C75BC","#59C1BD"
"9294","23ee327afb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_naive",-0.818151977681287,-4.32076543285381,"#93A7D1","#59C1BD"
"9295","d1f2d024fb7e11edb9e426a51887eecf","lenalidomide",24,"t_cd4_naive",-1.13230290713228,-2.85041004135143,"#93A7D1","#59C1BD"
"9296","4a207b04fb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_cm",-0.652622905396589,3.24110323474873,"#00AEEF","#59C1BD"
"9297","fb367016ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_naive",-1.48276994826711,0.124758067588694,"#93A7D1","#59C1BD"
"9298","8b2f095cfb8111ed99031af2246d8fa2","lenalidomide",24,"t_cd4_naive",-1.09084662499345,-2.95892137004863,"#93A7D1","#59C1BD"
"9299","faf223fcff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_cm",-0.418407884263166,-2.0261984439088,"#00AEEF","#59C1BD"
"9300","caeec37efb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_em",0.399035724974505,3.78484970615376,"#1C75BC","#59C1BD"
"9301","cfa6f6f6fb7e11edb9e426a51887eecf","lenalidomide",24,"t_cd8_naive",-6.15095922055162,0.430308404426463,"#8DC63F","#59C1BD"
"9302","9963fb8cfb8011edb519365d129239e0","lenalidomide",24,"t_cd4_naive",1.26933601794326,-4.27394574596416,"#93A7D1","#59C1BD"
"9303","d4a03b6efb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_cm",-0.324617233895429,0.922493043403514,"#00AEEF","#59C1BD"
"9304","4332678efb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_naive",-0.532528606080182,-3.78386574699413,"#93A7D1","#59C1BD"
"9305","45e937c4fb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd4_treg",4.2699458926686,-0.294006762046926,"#E57A93","#59C1BD"
"9306","46eb0698fb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_cm",0.0215238660343806,0.836169782142527,"#00AEEF","#59C1BD"
"9307","c8467616fb7e11edb9e426a51887eecf","lenalidomide",24,"t_cd4_cm",-0.189282622956403,1.53279024646748,"#00AEEF","#59C1BD"
"9308","c6c068e0fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.865093198441633,-2.95313328220379,"#93A7D1","#59C1BD"
"9309","b4734b1efb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd8_naive",-6.46770545544542,0.741805377464183,"#8DC63F","#59C1BD"
"9310","caa8ed1cfb7e11edb9e426a51887eecf","lenalidomide",24,"t_cd4_naive",-0.363017287873395,-2.60529678775799,"#93A7D1","#59C1BD"
"9311","fcb42b90ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_naive",-0.708217886113294,-4.80829876377117,"#93A7D1","#59C1BD"
"9312","c4f31f44fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_cm",0.482139381743304,0.614126267890818,"#00AEEF","#59C1BD"
