aifi_cell_type,timepoint,n_treat,bor,len,dex,n_genes,genes,top_genes,ypos
t_cd4_naive,24,2,nc,up,up,27,AC008892.1;AC093535.1;AHR;ARHGEF7;CLHC1;CSGALNACT1;DISC1;DST;FNDC3A;GCA;GPHN;GPR132;GRAMD2B;IL6ST;LDLRAD4;LEF1-AS1;LINC00243;MGME1;MIR181A1HG;NUP50-DT;PHLPP1;RBBP4;RESF1;SLA;TNFRSF10D;WSB1;ZNF609,LDLRAD4;IL6ST;CSGALNACT1,10
t_cd4_naive,24,2,dn,up,nc,21,AC124014.1;AL359220.1;ANK3;BCL6;CD7;CREB3L2;EEF2K;GOLPH3L;H3F3B;ITK;KYAT3;LINC01550;NUMA1;PDE7B;PDIA4;PPP3CB;SATB1;SMIM14;SUSD3;TRIM22;XBP1,XBP1;ANK3;TRIM22,9
t_cd4_naive,24,2,up,dn,nc,18,ABHD3;CCDC92;FER;HSP90AB1;LIME1;LRP8;MAN1A2;PRH1;PRKCB;PRPSAP1;PSMA7;RNGTT;RPS6KC1;SLCO3A1;SLMAP;TMCO1;VWA8;XIST,SLCO3A1;PRKCB;PSMA7,8
t_cd4_naive,24,2,up,nc,up,18,ATF7;ATG16L2;ATG5;BIRC6;C1orf54;COP1;DENND5A;KCNAB2;KPNA1;NGLY1;NUP43;RC3H1;RNF149;SPATA5;SS18;STIP1;TMEM181;TULP3,SPATA5;NGLY1;KCNAB2,7
t_cd4_naive,24,2,up,nc,dn,7,APOL2;ATP2B4;BICDL1;EIF4E3;HTATIP2;IDE;SRGN,SRGN;EIF4E3;BICDL1,6
t_cd4_naive,24,3,dn,up,up,7,AP000787.1;BCL11B;HIST1H1D;IKZF1;MSI2;OXNAD1;SESN3,MSI2;SESN3;OXNAD1,5
t_cd4_naive,24,3,up,up,dn,4,GBP3;IFI44;NMI;ZHX2,ZHX2;GBP3;IFI44,4
t_cd4_naive,24,3,up,dn,dn,3,NAP1L1;TBL1X;VMP1,VMP1;NAP1L1;TBL1X,3
t_cd4_naive,24,3,up,dn,up,3,DOCK2;PATJ;UFD1,DOCK2;UFD1;PATJ,2
t_cd4_naive,24,3,up,up,up,1,WASHC4,WASHC4,1
