gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
A1BG-AS1,0.00624306047237733,0.975602019306831,no,-0.0654267695136461,0.0171173717244484,dn,skyblue
AAGAB,-0.0191078931098925,0.660689021203963,no,0.0688862218174938,0.310116926343937,no,gray80
AAK1,0.0627926325157262,0.658382866418718,no,-0.0471889306658306,0.774936375058352,no,gray80
AAMDC,0.0528313316393209,0.275600229450762,no,0.00733597209803102,0.551948819415532,no,gray80
AAMP,-0.00738369487990567,0.783381254017581,no,0.0207677927810768,0.719598113190728,no,gray80
AAR2,0.0159592127456133,0.700455377200749,no,0.0357021671530928,0.353632538815011,no,gray80
AARS,-0.0924300065636615,0.00609323942179021,dn,-0.0222034904868971,0.866750414094092,no,skyblue
AARSD1,-0.0141310169695319,0.861468102313935,no,0.0297688200732532,0.436755185004461,no,gray80
AASDH,-0.013939628626316,0.868866648274013,no,-0.0366210829732125,0.620383690648869,no,gray80
AASDHPPT,-0.00189089889526933,0.98331693158649,no,-0.0146089206320977,0.639974870704126,no,gray80
AATF,-0.0229191090923007,0.90754945283364,no,0.0452544855546588,0.706169505462231,no,gray80
ABAT,-0.0199021201483641,0.679454202961167,no,0.116021414869061,0.0050506069709405,up,orange
ABCA10,0.000183904095576337,0.999471304611989,no,0.044444604153963,0.332207522030431,no,gray80
ABCA3,-0.0161379013955485,0.920245614491653,no,-0.0604604719228773,0.0283252806005161,dn,skyblue
ABCA5,-0.0124220612793883,0.960516678285843,no,0.121040975033224,0.0336040254699708,up,orange
ABCA7,0.0171812055631484,0.81815388259391,no,0.0377549549971358,0.42556009671207,no,gray80
ABCB10,0.0120485340243105,0.958556539548354,no,-0.0148869734429063,0.112171035788022,no,gray80
ABCB7,0.0101255097219449,0.98264407647282,no,0.114473552549783,0.0805150788632082,no,gray80
ABCB8,0.0115799164383408,0.21716500867231,no,0.0644996895856556,0.148911390616441,no,gray80
ABCC1,0.412858633537286,1.34901945568877e-22,up,0.0263665707275131,0.934658052053906,no,orange
ABCC10,-0.0106611591589473,0.931471473822006,no,-0.00598702603506043,0.842323403935784,no,gray80
ABCC4,-0.0378604565535968,0.656339563147689,no,0.00373376727533459,0.710461093276035,no,gray80
ABCC5,0.0183736937791228,0.783381254017581,no,0.00303874890085043,0.0804051010456606,no,gray80
ABCD2,-0.048857529217643,0.553938918978179,no,-0.0868357324932642,0.109487074738857,no,gray80
ABCD3,0.0354149921360157,0.639320802898772,no,-0.0127307128739562,0.847061469360543,no,gray80
ABCD4,0.0190313632871959,0.716642161492162,no,0.00207983999333344,0.927201713369579,no,gray80
ABCE1,0.0406977684340535,0.45834206614819,no,0.00978831025487648,0.519390594050043,no,gray80
ABCF1,-0.0459452078182102,0.323571437668952,no,0.0278611137051931,0.672683846393392,no,gray80
ABHD10,0.016457120478649,0.787166093424511,no,-0.00908446549614739,0.741762958088055,no,gray80
ABHD12,0.0368554755402848,0.631946176455016,no,0.0411589810415181,0.392992568141394,no,gray80
ABHD13,-0.0204165547674107,0.55405320270427,no,-0.0142926265563208,0.577091141839401,no,gray80
ABHD14A,-0.0378881345457186,0.0805290689176716,no,-0.0259936822406902,0.51671060140671,no,gray80
ABHD15-AS1,-0.00228986173499526,0.949743531666435,no,-0.0176013343794918,0.916175390523096,no,gray80
ABHD16A,-0.00306736874397154,0.985662814675896,no,0.0247643352644112,0.452041240307145,no,gray80
ABHD17A,-0.0353766960659926,0.370330619955939,no,-0.0283879527438288,0.617071350641716,no,gray80
ABHD17B,0.0391669339936356,0.353986489329869,no,0.0374460191577183,0.597773430832637,no,gray80
ABHD18,0.0775922463410701,0.379507840122527,no,-0.0274770317922035,0.790686457424838,no,gray80
ABHD2,-0.0600444543880937,0.245171203742528,no,0.119302964130516,0.0169372957949518,up,orange
ABHD3,-0.0846328784396904,0.375634540798816,no,0.272963774927292,2.51278010376303e-06,up,orange
ABHD5,-0.0216360819595284,0.59912928799217,no,-0.00607619816652955,0.978469115243815,no,gray80
ABI1,0.0439329436066177,0.817992179763268,no,0.262474638301041,7.83559988192503e-06,up,orange
ABI2,0.0699627536217475,0.196696639948653,no,0.0440928016249452,0.666020483301772,no,gray80
ABL1,-0.0731831164094147,0.120800919582516,no,0.0462187353832524,0.43247121401785,no,gray80
ABL2,-0.0328801674125176,0.807354263399694,no,0.0521597925327463,0.520898197912631,no,gray80
ABLIM1,-0.274777651501413,3.25607005360758e-10,dn,-0.0339888633808793,0.00402096539774127,dn,darkblue
ABR,-0.0234489026184463,0.852747735117429,no,-0.0273891323258055,0.842544755801185,no,gray80
ABRACL,0.0109539424886438,0.029849597875003,up,-0.0319952411867994,0.728599809966896,no,orange
ABRAXAS1,0.0263363354783049,0.757494540193725,no,-0.0184529166438773,0.365085517694584,no,gray80
ABRAXAS2,-0.0235925627011964,0.76065454726557,no,0.0253931358047313,0.383359205916458,no,gray80
ABT1,0.0042771897023571,0.963377097687919,no,0.00980760358482892,0.796841618173343,no,gray80
ABTB1,-0.0148970450190226,0.659857765447285,no,-0.0249215538029528,0.458462785648237,no,gray80
AC000065.1,-0.0504427204298358,0.0126015610655705,dn,-0.0119570776507461,0.807993157409976,no,skyblue
AC002460.2,0.0340340592935413,0.621166437354449,no,-0.04092655765738,0.463806584739954,no,gray80
AC002463.1,0.0416336319998425,0.571406619879822,no,0.0235959369736914,0.888169464281592,no,gray80
AC003681.1,-0.0300222637248978,0.330835895724183,no,-0.00135690637748154,0.820409869054857,no,gray80
AC004039.1,0.0140346333995762,0.610526385805362,no,-0.0205490913486383,0.780229722271088,no,gray80
AC004687.1,-0.0641500330429502,0.205409747219967,no,-0.0267493862115357,0.752853457482592,no,gray80
AC004797.1,0.0269464746097086,0.355067239946629,no,-0.0527417215908856,0.250947581655443,no,gray80
AC004889.1,-0.00728498569863965,0.936215921425117,no,-0.0374657537828107,0.378630352964801,no,gray80
AC004951.1,-0.00550554940142364,0.990970577217375,no,-0.0153516829443144,0.934250555868034,no,gray80
AC005037.1,-0.00756665785340965,0.966297032909481,no,0.0310004265421585,0.619015388840872,no,gray80
AC005261.1,-0.0225514692809527,0.75542149985717,no,0.00284846474565106,0.960307886418949,no,gray80
AC005480.1,-0.013150380319414,0.881008228484153,no,-0.00437044296414112,0.91240911057996,no,gray80
AC005562.1,-0.016126432626767,0.815400386884211,no,0.0122219287715619,0.78397523440272,no,gray80
AC005670.3,0.0527541504661835,0.519052614979776,no,0.0310576227007749,0.796487845283982,no,gray80
AC005726.1,0.0245395200403749,0.298328298596896,no,0.0216621386850674,0.668259712120813,no,gray80
AC005920.2,0.0301920574916281,0.463997545160538,no,0.0277785457167119,0.352333967706742,no,gray80
AC006001.2,-0.0189706917302445,0.834146437523182,no,-0.0357888959089082,0.447349896560133,no,gray80
AC006059.1,0.0752775352448949,0.140328688759041,no,0.0839408085199534,0.0969768027378315,no,gray80
AC006141.1,-0.00232705371246954,0.994117642644477,no,0.0120522954420882,0.773871785703339,no,gray80
AC006299.1,0.0370809057130104,0.573476024325786,no,0.0108453788630429,0.758987770943108,no,gray80
AC006369.1,-0.0216829977026345,0.710324472729699,no,0.0111703014082381,0.864568238792913,no,gray80
AC006504.5,-0.00499102979610347,0.919480092258266,no,-0.0125418420867746,0.622505663262244,no,gray80
AC006547.1,-0.00452435021763593,0.973376973248503,no,0.025146056169726,0.618639080848832,no,gray80
AC007038.1,0.00595166583800524,0.916793633800878,no,-0.0508420595684816,0.0592602927267339,no,gray80
AC007216.4,-0.0231366897657421,0.822858340356322,no,-0.00636094699536693,0.892191904044083,no,gray80
AC007384.1,0.0226531400652285,0.501519665713143,no,-0.000757098023768665,0.843919495942683,no,gray80
AC007728.1,-0.0529174009184731,0.0423602750743696,dn,-0.0510830892753021,0.147918078851685,no,skyblue
AC008014.1,0.00609022553703885,0.961588919192118,no,-0.0647481084743985,0.127705090735241,no,gray80
AC008083.3,-0.00244098902401343,0.76065454726557,no,0.00497752901826022,0.468957394779027,no,gray80
AC008105.3,-0.0755011096993798,0.149337451791054,no,-0.0982878740663362,0.0724876500274556,no,gray80
AC008124.1,-0.00975047882238386,0.869616380707376,no,-0.0146868162657132,0.501503131628476,no,gray80
AC008443.1,0.0297362883954683,0.481174830034335,no,0.032963707313551,0.405149834442493,no,gray80
AC008555.4,0.0086940348398675,0.846804300781161,no,-0.0281646590990654,0.441016569168918,no,gray80
AC008731.1,-0.0162068728768346,0.810212135507424,no,0.00311859136840781,0.851250293066879,no,gray80
AC008735.2,-0.010512234628649,0.949743531666435,no,-0.0338115418816994,0.368912583234506,no,gray80
AC008771.1,0.0411818567049054,0.265337743679488,no,0.0160271843926149,0.879578140293398,no,gray80
AC008875.3,-0.141586171821475,3.38517748705696e-07,dn,-0.0890046517496339,0.0623555934206253,no,skyblue
