aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,bortezomib,dmso,up,FOXP1_353,FOXP1,1.55541514988761,0.00283922623942491,0.0255530361548242,1.59255749056068,2.5468,0.0708855190618255,72737,5156,0.11025641025641,390,43,72,0.443309442475844,0.0301032611529557,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,FOXO3_354,FOXO3,1.9712814490266,1.58781536420562e-06,1.42903382778506e-05,4.84495749056067,5.7992,0.0702393554862037,72737,5109,0.138461538461538,390,54,72,0.297779326299016,0.0542979525830581,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,FOXK2_360,FOXK2,1.53082184573293,0.00117300536915369,0.0105570483223832,1.97645749056068,2.9307,0.090449152425863,72737,6579,0.138461538461538,390,54,72,0.391426085276232,0.00400377911346861,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,FOXO1_361,FOXO1,1.45318738400551,0.0138899281749685,0.125009353574717,0.903057490560675,1.8573,0.0670497820916452,72737,4877,0.0974358974358974,390,38,72,0.874604876891377,-0.00829556110859164,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,FOXK1_364,FOXK1,1.62516307964309,0.000847617666635492,0.00762855899971943,2.11755749056068,3.0718,0.0725765428873888,72737,5279,0.117948717948718,390,46,72,0.0790384327525627,0.000187215943409369,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,FOXJ3_378,FOXJ3,1.28953609770511,0.0316154960265229,0.284539464238706,0.545857490560675,1.5001,0.10737313884268,72737,7810,0.138461538461538,390,54,72,6.26976928072768e-08,0.212791958125581,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,GATA3_384,GATA3,1.38046164317221,0.0510975409054676,0.459877868149208,0.337357490560675,1.2916,0.0538652955167246,72737,3918,0.0743589743589744,390,29,72,9.81364525578978e-10,-0.251505637800034,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,TFCP2_392,TFCP2,0.946357012750455,0.643279927260851,1,0,0.1916,0.0704455779039554,72737,5124,0.0666666666666667,390,26,72,0.0629592349667703,-0.015978910904713,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,UBP1_393,UBP1,1.0827001637365,0.286351854447893,1,0,0.5431,0.127885395328375,72737,9302,0.138461538461538,390,54,72,0.0105637526811593,0.0946756889352042,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,TGIF2_441,TGIF2,1.05125569611644,0.45143996126695,1,0,0.3454,0.0414644541292602,72737,3016,0.0435897435897436,390,17,72,0.0142821436005549,-0.0370688303932836,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,HMBOX1_488,HMBOX1,0.906832065827204,0.662064040270461,1,0,0.1791,0.0254478463505506,72737,1851,0.0230769230769231,390,9,72,0.106909770767567,0.078444868058002,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,PKNOX1_497,PKNOX1,1.2039650294932,0.214684158936074,1,0,0.6682,0.0468537333131694,72737,3408,0.0564102564102564,390,22,72,0.0333262489216823,-0.0615444745067247,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,ZHX1_510,ZHX1,1.37136123680241,0.198015870808241,1,0,0.7033,0.0186974992094807,72737,1360,0.0256410256410256,390,10,72,0.0181435332184047,0.0492002991343597,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,PBX3_518,PBX3,1.11403681111199,0.300192612224169,1,0,0.5226,0.0667473225456095,72737,4855,0.0743589743589744,390,29,72,0.000470676716254802,-0.182718832754939,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,HOXB2_532,HOXB2,1.22069742630752,0.261095868658593,1,0,0.5832,0.0294073167713818,72737,2139,0.0358974358974359,390,14,72,0.310711152911913,-0.020450088722266,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,TGIF1_541,TGIF1,1.10651569516136,0.313040119009624,1,0,0.5044,0.0672010118646631,72737,4888,0.0743589743589744,390,29,72,0.00360478082427335,0.0581679536313222,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,POU6F1_551,POU6F1,1.01508596628335,0.493400971187958,1,0,0.3068,0.0757798644431307,72737,5512,0.0769230769230769,390,30,72,0.458868672378007,0.0175161815908852,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,PBX2_563,PBX2,0.980484102564103,0.56924601627871,1,0,0.2447,0.0601482051775575,72737,4375,0.058974358974359,390,23,72,0.0118479871518164,-0.0376034840473671,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,POU2F2_609,POU2F2,1.24752594117143,0.0876798907488965,0.789119016740068,0.102857490560675,1.0571,0.0822140038769815,72737,5980,0.102564102564103,390,40,72,0.00819848102138308,0.114763160778098,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,POU2F1_614,POU2F1,0.953990425601679,0.636209280573518,1,0,0.1964,0.0860084963636114,72737,6256,0.0820512820512821,390,32,72,0.00011135196619953,0.212465556948792,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,HSF2_623,HSF2,0.51272887479073,0.997240711741549,1,0,0.0012,0.0600107235657231,72737,4365,0.0307692307692308,390,12,72,0.00639191830877846,0.0987618288511678,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,HSF1_627,HSF1,0.477973163006479,0.997700063822553,1,0,0.001,0.0536453249377896,72737,3902,0.0256410256410256,390,10,72,0.690082817783092,0.00516049383477313,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,IRF1_629,IRF1,0.989792189109854,0.572664155008967,1,0,0.2421,0.308275018216314,72737,22423,0.305128205128205,390,119,72,4.69980939124908e-62,-0.892475686875364,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,IRF3_630,IRF3,0.704966576873192,0.991060118647831,1,0,0.0039,0.123664709845058,72737,8995,0.0871794871794872,390,34,72,6.28188057485649e-05,0.0620177509859207,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,IRF4_632,IRF4,2.24388350647835,8.49767270775976e-17,7.64790543698378e-16,15.1164574905607,16.0707,0.126840535078433,72737,9226,0.284615384615385,390,111,72,0.00150158314288722,-0.103163761892832,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,IRF2_634,IRF2,0.741999355025536,0.972075505829819,1,0,0.0123,0.107125671941378,72737,7792,0.0794871794871795,390,31,72,0.000525224606672943,-0.166093619776755,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,IRF7_635,IRF7,0.94210916529328,0.658415429943382,1,0,0.1815,0.0789281933541389,72737,5741,0.0743589743589744,390,29,72,2.10774313135402e-11,-0.103417305218882,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,IRF9_636,IRF9,0.71457903526869,0.968054927712061,1,0,0.0141,0.0825302115842006,72737,6003,0.058974358974359,390,23,72,9.171210874337e-09,-0.188595430814162,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,MEF2A_639,MEF2A,1.08876315356175,0.282033047380154,1,0,0.5497,0.117753000536178,72737,8565,0.128205128205128,390,50,72,0.0486163794519251,-0.021867632275457,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,MEF2D_642,MEF2D,1.29596395315035,0.025304630494614,0.227741674451526,0.642557490560675,1.5968,0.112776166187772,72737,8203,0.146153846153846,390,57,72,0.0401556677707142,0.034162519949546,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,MEF2B_643,MEF2B,1.23309175672812,0.0871766146601849,0.784589531941664,0.105357490560675,1.0596,0.0914940126758046,72737,6655,0.112820512820513,390,44,72,0.241413137630551,0.0109819367651667,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MBD2_644,MBD2,0.132592868054264,1,1,0,0,0.0966908176031456,72737,7033,0.0128205128205128,390,5,72,0.2042718592992,0.0174056257315345,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MECP2_645,MECP2,0.321228260773559,1,1,0,0,0.119732735746594,72737,8709,0.0384615384615385,390,15,72,0.020471726714524,-0.0199052823379209,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,CDC5L_646,CDC5L,0.908396362642938,0.687701544944209,1,0,0.1626,0.045162709487606,72737,3285,0.041025641025641,390,16,72,0.0945326126960188,0.0147859341586158,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MYB_648,MYB,0.485269197411435,0.985144642804035,1,0,0.0065,0.0317032596890166,72737,2306,0.0153846153846154,390,6,72,4.93234408709159e-09,-0.0920918143305401,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,TERF2_649,TERF2,1.59066207424416,0.0295324855405551,0.265792369864996,0.575457490560675,1.5297,0.0322394379751708,72737,2345,0.0512820512820513,390,20,72,0.767026030246332,-0.00571154322948939,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,SMARCC2_650,SMARCC2,0.588860253936556,0.995863924053589,1,0,0.0018,0.0783782669068012,72737,5701,0.0461538461538462,390,18,72,0.166691823017673,0.0288122978278526,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,SMARCC1_651,SMARCC1,5.68613195747342,1.51425842966939e-122,1.36283258670245e-121,120.865557490561,121.8198,0.103716127967884,72737,7544,0.58974358974359,390,230,72,0.404896097378411,-0.00575315967355028,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,MYBL1_653,MYBL1,0,1,1,0,0,0.0106823212395342,72737,777,0,390,0,72,6.85140737349881e-10,-0.161256429846998,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,RORA_658,RORA,1.64431451530036,0.00384946167342452,0.0346451550608207,1.46035749056068,2.4146,0.0514593673096223,72737,3743,0.0846153846153846,390,33,72,0.0011003386250967,0.216925965998992,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,ESR1_661,ESR1,1.14938813829515,0.2225871044793,1,0,0.6525,0.0758486052490479,72737,5517,0.0871794871794872,390,34,72,0.000475962499331655,-0.183453867958054,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,PPARD_664,PPARD,1.02213259885894,0.477749234659094,1,0,0.3208,0.0752574343181599,72737,5474,0.0769230769230769,390,30,72,0.400397920301466,0.0381567464264073,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,NR3C1_666,NR3C1,0.70993891166305,0.948418463300897,1,0,0.023,0.0613992878452507,72737,4466,0.0435897435897436,390,17,72,0.534621369664618,-0.045543150105932,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,bortezomib,dmso,up,ESRRB_669,ESRRB,1.4357592625491,0.0311458365401213,0.280312528861092,0.552357490560675,1.5066,0.0535765841318724,72737,3897,0.0769230769230769,390,30,72,8.62072698832452e-11,0.146222612118623,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,NR2C1_670,NR2C1,1.23704484770149,0.13589391171008,1,0,0.8668,0.0621829330327069,72737,4523,0.0769230769230769,390,30,72,0.00452391627950695,0.0875559108147189,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,NR1H2_674,NR1H2,0.905853294034622,0.699519781051213,1,0,0.1552,0.050950685345835,72737,3706,0.0461538461538462,390,18,72,0.0015730893597384,0.0406611879249369,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,bortezomib,dmso,up,RARA_675,RARA,1.16959318218363,0.232113286066398,1,0,0.6343,0.0569998762665493,72737,4146,0.0666666666666667,390,26,72,0.0022197683665006,-0.0430334707977409,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,bortezomib,dmso,up,ESR2_678,ESR2,1.06742623207987,0.385212170598103,1,0,0.4143,0.0696619327164992,72737,5067,0.0743589743589744,390,29,72,2.38930028715806e-05,-0.20319401997971,dn,CD4 CM,#00AEEF,2,6,dodgerblue
