aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_cm,24,bortezomib,dmso,648,PSMC1,0.0999806793487547,1.20537692721867,0.320418772629548,6.16737917448925e-20,1.2472790168598e-17,1,up,RP 19S base,5,42,47,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMC2,0.126832219712936,1.1193319022708,0.309357729421882,3.97259455800332e-18,6.5654899783183e-16,1,up,RP 19S base,5,41,46,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMC3,0.0226026619625985,1.06835342389461,0.132496954711716,5.00649355594771e-08,2.46302890094645e-06,1,up,RP 19S base,5,40,45,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMC4,0.0638418916478302,1.15606295452678,0.177692011399134,2.44717918338218e-11,1.82336315646037e-09,1,up,RP 19S base,5,39,44,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMC5,0.0441871166244381,0.697232103959396,0.12537408228266,1.32217463205147e-05,0.000384607922076891,1,up,RP 19S base,5,38,43,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMC6,0.145655968008009,1.06086435175475,0.361596473293421,5.01602726278321e-20,1.06515338925201e-17,1,up,RP 19S base,5,37,42,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD1,0.584645009214449,2.06320983705433,1.14815962449388,1.07173587741818e-104,9.10332454279002e-101,1,up,RP 19S base,5,36,41,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD11,0.241350888861133,1.62335643897852,0.592075553589165,5.20653443115703e-46,6.31775763689254e-43,1,up,RP 19S lid,4,27,31,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD12,0.188534966659837,1.01670346693146,0.434159561728415,6.03092013099976e-24,1.76643571009352e-21,1,up,RP 19S lid,4,26,30,Bor/DMSO,CD4 CM,#00AEEF,2,6
t_cd4_cm,24,bortezomib,dmso,648,PSMD13,0.135812303544074,0.902283652620259,0.220760042246376,4.75358831373202e-13,4.48633101520442e-11,1,up,RP 19S lid,4,25,29,Bor/DMSO,CD4 CM,#00AEEF,2,6
