gene,n_cells,n_nonzero,frac_nonzero,sum,mean,mean_nonzero,seurat_clusters,feature,feature_name,xpos,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color,scaled_mean
CD45RA,3184,3184,1,1490264,468.047738693467,468.047738693467,0,adt_CD45RA,CD45RA,1,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.990036784407352
CD45RO,3184,3184,1,144821,45.4839824120603,45.4839824120603,0,adt_CD45RO,CD45RO,2,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.0248087185393567
CD49d,3184,3184,1,236924,74.4108040201005,74.4108040201005,0,adt_CD49d,CD49d,3,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.160620137235275
TCR.Va7.2,3184,2206,0.6928391959799,5158,1.61997487437186,2.33816863100635,0,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.0178491756896253
CD45RA,1025,1025,1,400917,391.138536585366,391.138536585366,1,adt_CD45RA,CD45RA,1,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0.759350328946568
CD45RO,1025,1025,1,46019,44.8965853658537,44.8965853658537,1,adt_CD45RO,CD45RO,2,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0
CD49d,1025,1025,1,79740,77.7951219512195,77.7951219512195,1,adt_CD49d,CD49d,3,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0.174405214777161
TCR.Va7.2,1025,717,0.699512195121951,1713,1.67121951219512,2.38912133891213,1,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0.0222814786517974
CD45RA,874,874,1,189515,216.836384439359,216.836384439359,2,adt_CD45RA,CD45RA,1,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.23653713422337
CD45RO,874,874,1,43366,49.6178489702517,49.6178489702517,2,adt_CD45RO,CD45RO,2,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.199402602835724
CD49d,874,874,1,175679,201.005720823799,201.005720823799,2,adt_CD49d,CD49d,3,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.676269310884428
TCR.Va7.2,874,612,0.700228832951945,1682,1.92448512585812,2.7483660130719,2,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.0535316574718712
CD45RA,455,455,1,64135,140.956043956044,140.956043956044,3,adt_CD45RA,CD45RA,1,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.00893671313657271
CD45RO,455,455,1,31201,68.5736263736264,68.5736263736264,3,adt_CD45RO,CD45RO,2,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,1
CD49d,455,455,1,74608,163.973626373626,163.973626373626,3,adt_CD49d,CD49d,3,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.525429376834478
TCR.Va7.2,455,323,0.70989010989011,842,1.85054945054945,2.60681114551084,3,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.0412180026223417
CD45RA,321,321,1,63133,196.676012461059,196.676012461059,4,adt_CD45RA,CD45RA,1,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.176066805251447
CD45RO,321,321,1,18388,57.2834890965732,57.2834890965732,4,adt_CD45RO,CD45RO,2,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.523160969592998
CD49d,321,321,1,56863,177.143302180685,177.143302180685,4,adt_CD49d,CD49d,3,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.579072387301221
TCR.Va7.2,321,225,0.700934579439252,534,1.66355140186916,2.37333333333333,4,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.0209081026965273
CD45RA,275,275,1,57551,209.276363636364,209.276363636364,5,adt_CD45RA,CD45RA,1,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.213861116861994
CD45RO,275,275,1,14158,51.4836363636364,51.4836363636364,5,adt_CD45RO,CD45RO,2,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.278204147030886
CD49d,275,275,1,53716,195.330909090909,195.330909090909,5,adt_CD49d,CD49d,3,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.653154544078929
TCR.Va7.2,275,188,0.683636363636364,401,1.45818181818182,2.13297872340426,5,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0
CD45RA,268,268,1,126327,471.369402985075,471.369402985075,6,adt_CD45RA,CD45RA,1,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00,1
CD45RO,268,268,1,12174,45.4253731343284,45.4253731343284,6,adt_CD45RO,CD45RO,2,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00,0.0223333552660195
CD49d,268,268,1,9374,34.9776119402985,34.9776119402985,6,adt_CD49d,CD49d,3,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00,0
TCR.Va7.2,268,172,0.641791044776119,426,1.58955223880597,2.47674418604651,6,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00,0.029903664417189
CD45RA,267,267,1,63415,237.50936329588,237.50936329588,7,adt_CD45RA,CD45RA,1,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC,0.298545009555679
CD45RO,267,267,1,12984,48.6292134831461,48.6292134831461,7,adt_CD45RO,CD45RO,2,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC,0.157647575812664
CD49d,267,267,1,27123,101.584269662921,101.584269662921,7,adt_CD49d,CD49d,3,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC,0.271303689605957
TCR.Va7.2,267,194,0.726591760299625,487,1.82397003745318,2.51030927835052,7,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC,0.0328234436430487
CD45RA,182,182,1,34234,188.098901098901,188.098901098901,8,adt_CD45RA,CD45RA,1,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF,0.150340060414756
CD45RO,182,182,1,9613,52.8186813186813,52.8186813186813,8,adt_CD45RO,CD45RO,2,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF,0.334589780463994
CD49d,182,182,1,51048,280.483516483516,280.483516483516,8,adt_CD49d,CD49d,3,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF,1
TCR.Va7.2,182,123,0.675824175824176,320,1.75824175824176,2.60162601626016,8,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF,0.040766955667595
CD45RA,171,171,1,23594,137.976608187135,137.976608187135,9,adt_CD45RA,CD45RA,1,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE,0
CD45RO,171,171,1,9514,55.6374269005848,55.6374269005848,9,adt_CD45RO,CD45RO,2,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE,0.453639520715664
CD49d,171,171,1,19552,114.33918128655,114.33918128655,9,adt_CD49d,CD49d,3,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE,0.323257273562969
TCR.Va7.2,171,167,0.976608187134503,2276,13.3099415204678,13.6287425149701,9,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE,1
CD45RA,92,92,1,19471,211.641304347826,211.641304347826,10,adt_CD45RA,CD45RA,1,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD,0.22095467361656
CD45RO,92,92,1,4358,47.3695652173913,47.3695652173913,10,adt_CD45RO,CD45RO,2,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD,0.104446322102741
CD49d,92,92,1,10086,109.630434782609,109.630434782609,10,adt_CD49d,CD49d,3,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD,0.304077504698746
TCR.Va7.2,92,68,0.739130434782609,165,1.79347826086957,2.42647058823529,10,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD,0.0255304362678683
CD45RA,55,55,1,9156,166.472727272727,166.472727272727,11,adt_CD45RA,CD45RA,1,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC,0.0854731101878295
CD45RO,55,55,1,3111,56.5636363636364,56.5636363636364,11,adt_CD45RO,CD45RO,2,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC,0.492757984156578
CD49d,55,55,1,5800,105.454545454545,105.454545454545,11,adt_CD49d,CD49d,3,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC,0.287068181294354
TCR.Va7.2,55,42,0.763636363636364,185,3.36363636363636,4.40476190476191,11,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC,0.197619159766001
CD45RA,31,31,1,13973,450.741935483871,450.741935483871,12,adt_CD45RA,CD45RA,1,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00,0.93812863438244
CD45RO,31,31,1,1446,46.6451612903226,46.6451612903226,12,adt_CD45RO,CD45RO,2,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00,0.0738511169489
CD49d,31,31,1,2921,94.2258064516129,94.2258064516129,12,adt_CD49d,CD49d,3,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00,0.241331036911516
TCR.Va7.2,31,21,0.67741935483871,46,1.48387096774194,2.19047619047619,12,adt_TCR.Va7.2,TCR.Va7.2,4,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00,0.00500162217269288
UBE2E2,3184,1694,0.532035175879397,3494.25595313835,1.09744219633742,2.06272488378887,0,rna_UBE2E2,UBE2E2,5.5,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.656011567498564
NIBAN1,3184,271,0.0851130653266332,484.953908392359,0.15230964459559,1.78949781694597,0,rna_NIBAN1,NIBAN1,6.5,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.0569288264914772
CCL5,3184,99,0.0310929648241206,137.887450913701,0.0433063602115896,1.39280253448183,0,rna_CCL5,CCL5,7.5,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D,0.28798962108281
UBE2E2,1025,502,0.489756097560976,1036.81191302681,1.01152381758713,2.06536237654743,1,rna_UBE2E2,UBE2E2,5.5,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0.659906136569888
NIBAN1,1025,120,0.117073170731707,208.35874379956,0.203276823219082,1.73632286499633,1,rna_NIBAN1,NIBAN1,6.5,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0
CCL5,1025,30,0.0292682926829268,38.9009611359572,0.0379521572058119,1.29669870453191,1,rna_CCL5,CCL5,7.5,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00,0.233064188274952
UBE2E2,874,68,0.0778032036613272,134.57950019576,0.153981121505446,1.97911029699647,2,rna_UBE2E2,UBE2E2,5.5,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.532544770262345
NIBAN1,874,532,0.608695652173913,1209.53874472035,1.38391160723152,2.27356906902322,2,rna_NIBAN1,NIBAN1,6.5,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.575172986732814
CCL5,874,355,0.406178489702517,630.166157145063,0.72101390977696,1.7751159356199,2,rna_CCL5,CCL5,7.5,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700,0.506490060000744
UBE2E2,455,5,0.010989010989011,8.31764593967965,0.0182805405267685,1.66352918793593,3,rna_UBE2E2,UBE2E2,5.5,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.0665520493905555
NIBAN1,455,355,0.78021978021978,796.853315165513,1.75132596739673,2.24465722581835,3,rna_NIBAN1,NIBAN1,6.5,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.544220118041606
CCL5,455,30,0.0659340659340659,45.9020605193688,0.100883649493118,1.53006868397896,3,rna_CCL5,CCL5,7.5,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70,0.366440216391307
UBE2E2,321,9,0.0280373831775701,19.0862308508448,0.0594586630867439,2.12069231676053,4,rna_UBE2E2,UBE2E2,5.5,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.741607317804507
NIBAN1,321,262,0.81619937694704,681.191894462309,2.12209312916607,2.59996906283324,4,rna_NIBAN1,NIBAN1,6.5,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.924615119412617
CCL5,321,174,0.542056074766355,323.462789860578,1.00767224255632,1.85898155092286,4,rna_CCL5,CCL5,7.5,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB,0.554421086481298
UBE2E2,275,3,0.0109090909090909,6.79711494689497,0.0247167816250726,2.26570498229832,5,rna_UBE2E2,UBE2E2,5.5,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.95573561837354
NIBAN1,275,193,0.701818181818182,494.921708568819,1.79971530388661,2.5643611842944,5,rna_NIBAN1,NIBAN1,6.5,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.886493510182259
CCL5,275,163,0.592727272727273,343.359798798319,1.24858108653934,2.10650183311852,5,rna_CCL5,CCL5,7.5,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA,0.695884320937239
