seurat_clusters,predicted.celltype.l2,n_cl,n_seurat,frac_cl,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color
0,CD8 Naive,3184,2633,0.826947236180904,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D
0,CD8 TCM,3184,463,0.145414572864322,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D
0,CD8 TEM,3184,85,0.0266959798994975,t_cd8_naive,3132,CD8 Naive,#8DC63F,5,3,13,#F8766D
1,CD8 Naive,1025,875,0.853658536585366,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00
1,CD8 TCM,1025,117,0.114146341463415,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00
1,CD8 TEM,1025,32,0.031219512195122,t_cd8_naive,1023,CD8 Naive,#8DC63F,5,3,12,#E18A00
2,CD8 Naive,874,65,0.074370709382151,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700
2,CD8 TCM,874,534,0.610983981693364,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700
2,CD8 TEM,874,275,0.314645308924485,t_cd8_memory,728,CD8 Memory,#009444,6,2,9,#24B700
3,CD8 Naive,455,13,0.0285714285714286,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70
3,CD8 TCM,455,413,0.907692307692308,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70
3,CD8 TEM,455,29,0.0637362637362637,t_cd8_memory,454,CD8 Memory,#009444,6,2,8,#00BE70
4,CD8 Naive,321,8,0.0249221183800623,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB
4,CD8 TCM,321,21,0.0654205607476635,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB
4,CD8 TEM,321,292,0.909657320872274,t_cd8_memory,318,CD8 Memory,#009444,6,2,7,#00C1AB
5,CD8 TEM,275,274,0.996363636363636,t_cd8_memory,275,CD8 Memory,#009444,6,2,6,#00BBDA
6,CD8 Naive,268,126,0.470149253731343,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00
6,CD8 TCM,268,137,0.511194029850746,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00
6,CD8 TEM,268,5,0.0186567164179104,t_cd8_naive,254,CD8 Naive,#8DC63F,5,3,11,#BE9C00
7,CD8 Naive,267,97,0.363295880149813,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC
7,CD8 TCM,267,84,0.314606741573034,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC
7,CD8 TEM,267,86,0.322097378277154,t_cd8_memory,191,CD8 Memory,#009444,6,2,5,#00ACFC
8,CD8 Naive,182,6,0.032967032967033,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF
8,CD8 TCM,182,7,0.0384615384615385,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF
8,CD8 TEM,182,165,0.906593406593407,t_cd8_memory,182,CD8 Memory,#009444,6,2,4,#8B93FF
9,CD8 Naive,171,2,0.0116959064327485,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE
9,CD8 TCM,171,34,0.198830409356725,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE
9,CD8 TEM,171,133,0.777777777777778,t_cd8_memory,171,CD8 Memory,#009444,6,2,3,#D575FE
10,CD8 Naive,92,2,0.0217391304347826,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD
10,CD8 TCM,92,11,0.119565217391304,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD
10,CD8 TEM,92,78,0.847826086956522,t_cd8_memory,69,CD8 Memory,#009444,6,2,2,#F962DD
11,CD8 TCM,55,2,0.0363636363636364,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC
11,CD8 TEM,55,53,0.963636363636364,t_cd8_memory,55,CD8 Memory,#009444,6,2,1,#FF65AC
12,CD8 Naive,31,7,0.225806451612903,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00
12,CD8 TCM,31,20,0.645161290322581,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00
12,CD8 TEM,31,4,0.129032258064516,t_cd8_naive,29,CD8 Naive,#8DC63F,5,3,10,#8CAB00
