barcodes,treatment,timepoint,seurat_clusters,aifi_cell_type,cell_type_label,cell_type_color,UMAP_1,UMAP_2,treatment_color,timepoint_color
8a465eaafb8111ed99031af2246d8fa2,dmso,24,8,t_cd8_memory,CD8 Memory,#009444,-4.01667974102516,-9.92599546534655,#000000,#F29727
c4bb7622fb7e11ed84ffaefa3cccb57a,dmso,24,5,t_cd8_memory,CD8 Memory,#009444,-4.55139134037514,-7.43678664786456,#000000,#F29727
8b27259efb8011edb519365d129239e0,dmso,24,7,t_cd8_naive,CD8 Naive,#8DC63F,-2.09242201554794,3.80745840447309,#000000,#F29727
74c2f36efb8011eda0a9e2763843e521,dmso,24,1,t_cd8_naive,CD8 Naive,#8DC63F,-2.74668390262146,4.23796892540815,#000000,#F29727
b6c63d7cfb7e11ed84ffaefa3cccb57a,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,2.01758983027916,5.23679685967328,#000000,#F29727
98f331e0fb8011edb519365d129239e0,dmso,24,9,t_cd8_memory,CD8 Memory,#009444,-11.9762303601505,-7.50287371499179,#000000,#F29727
44a8908efb8111eda35df29f570c0793,dmso,24,2,t_cd8_memory,CD8 Memory,#009444,2.27933623683434,1.62703180687787,#000000,#F29727
b39917a2fb8111edb32712c42668f295,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,1.53457143199425,4.15103865044477,#000000,#F29727
4d42bdc2fb8211ed9d09f6494964bb81,dmso,24,1,t_cd8_naive,CD8 Naive,#8DC63F,-2.16090071904678,4.60050535576703,#000000,#F29727
b4e6c870fb8111edb32712c42668f295,dmso,24,2,t_cd8_memory,CD8 Memory,#009444,-0.314547039151383,-9.00205635649798,#000000,#F29727
ee5563d4fb7f11ed898e2a71e2203848,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,2.67336442363243,5.54033613579633,#000000,#F29727
c901399afb7b11ed8d7c62b1232be981,dmso,24,1,t_cd8_naive,CD8 Naive,#8DC63F,-2.39638417917509,5.93254709618451,#000000,#F29727
4bad2b60fb8111eda35df29f570c0793,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,0.742410444140243,3.21265268700483,#000000,#F29727
7d0af90efb8011eda0a9e2763843e521,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,1.39649083507042,4.28144884484174,#000000,#F29727
1a478d00fb8011ed8e8a7625f34dfd6b,dmso,24,3,t_cd8_memory,CD8 Memory,#009444,1.71670892131309,-10.8918478451454,#000000,#F29727
7b581dc6fb8011eda0a9e2763843e521,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,0.544174932360458,1.56376314537885,#000000,#F29727
306b000cfb8111eda35df29f570c0793,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,2.5915696848629,4.54623937981489,#000000,#F29727
9474dfa0fb8111ed99031af2246d8fa2,dmso,24,0,t_cd8_memory,CD8 Memory,#009444,2.20527055156212,4.39352369683149,#000000,#F29727
f7baa65afb7f11ed898e2a71e2203848,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,2.59204556834679,5.67518091576459,#000000,#F29727
03ea5caefb8011ed898e2a71e2203848,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,2.91796710383873,4.85283327477338,#000000,#F29727
cb9a70d8fb7e11edb9e426a51887eecf,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,1.85816647899132,6.37126493828656,#000000,#F29727
aefc0ae2fb8111edb32712c42668f295,dmso,24,1,t_cd8_naive,CD8 Naive,#8DC63F,-0.532132483601761,5.0503439940727,#000000,#F29727
fa1b3a9aff2111edaa5fda2b1e723be2,dmso,24,9,t_cd8_memory,CD8 Memory,#009444,-12.311991430402,-7.76504656297801,#000000,#F29727
fb6b5a10ff2111edaa5fda2b1e723be2,dmso,24,1,t_cd8_naive,CD8 Naive,#8DC63F,-2.63369499105234,4.83580160515668,#000000,#F29727
9b0516f6fb8011edb519365d129239e0,dmso,24,4,t_cd8_memory,CD8 Memory,#009444,-2.10681811678429,-8.50279983503459,#000000,#F29727
bb83c92efb7e11ed84ffaefa3cccb57a,dmso,24,3,t_cd8_memory,CD8 Memory,#009444,1.53684070003014,-10.6503276787483,#000000,#F29727
cee317d4fb7b11ed8d7c62b1232be981,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,3.08096053493004,3.38880110161664,#000000,#F29727
4a237106fb7b11ed8a1abe9d4c5fcb23,dmso,24,0,t_cd8_naive,CD8 Naive,#8DC63F,1.77611424815636,4.66175890343549,#000000,#F29727
