barcodes,treatment,timepoint,seurat_clusters,aifi_cell_type,cell_type_label,cell_type_color,UMAP_1,UMAP_2,treatment_color,timepoint_color
b39c2c10fb7e11ed84ffaefa3cccb57a,bortezomib,72,6,t_cd4_naive,CD4 Naive,#93A7D1,-1.17784964904339,1.65511815520017,#FF9F45,#F24C3D
41ba08e0fb7b11ed8a1abe9d4c5fcb23,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-6.21345841750652,-1.39201457528384,#FF9F45,#F24C3D
8ec312c0fb8111ed99031af2246d8fa2,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.01622903213055,-2.15382285146029,#FF9F45,#F24C3D
9112c7f6fb8011edb519365d129239e0,bortezomib,72,7,t_cd4_cm,CD4 CM,#00AEEF,9.65358269348591,-0.165957567375016,#FF9F45,#F24C3D
43c0b6e6fb8211ed9d09f6494964bb81,bortezomib,72,10,t_cd4_treg,CD4 Treg,#E57A93,6.62002575531452,3.97937719794004,#FF9F45,#F24C3D
f78446dcfb7f11ed898e2a71e2203848,bortezomib,72,2,t_cd4_em,CD4 EM,#1C75BC,4.76700937881916,0.548709678370643,#FF9F45,#F24C3D
c4ff0c0afb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.85017239913494,0.659342336375404,#FF9F45,#F24C3D
437bea4afb7b11ed933dc6f18f77c1a7,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.27609813079388,-3.48188145188601,#FF9F45,#F24C3D
0a180bd0fb8011ed8e8a7625f34dfd6b,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.14870536193401,0.103454190213371,#FF9F45,#F24C3D
1609613cfb8011ed8e8a7625f34dfd6b,bortezomib,72,9,t_cd4_cm,CD4 CM,#00AEEF,6.82098782196491,0.388935851771522,#FF9F45,#F24C3D
c78fbe4efb7e11edb9e426a51887eecf,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,-4.69408118590862,0.533455896098304,#FF9F45,#F24C3D
c99deaf6fb7b11ed8d7c62b1232be981,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.03739559784382,-3.1205089810303,#FF9F45,#F24C3D
828a10bcfb8111ed99031af2246d8fa2,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,-5.11673486098797,2.54625933142393,#FF9F45,#F24C3D
7675c646fb8011eda0a9e2763843e521,bortezomib,72,8,t_cd4_naive,CD4 Naive,#93A7D1,-5.28544080123455,1.40678720446317,#FF9F45,#F24C3D
45532d5efb8211ed9d09f6494964bb81,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,7.55687487259357,-1.94475562600405,#FF9F45,#F24C3D
c43f4bbafb7e11ed84ffaefa3cccb57a,bortezomib,72,7,t_cd4_cm,CD4 CM,#00AEEF,9.65256035461872,-0.94007087973864,#FF9F45,#F24C3D
8b5204a2fb8111ed99031af2246d8fa2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-4.04853618011028,1.47402183981626,#FF9F45,#F24C3D
9cc9cb48fb8111ed99031af2246d8fa2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.8629263626054,1.53724901648252,#FF9F45,#F24C3D
f89bdf58ff2111edaa5fda2b1e723be2,bortezomib,72,6,t_cd4_naive,CD4 Naive,#93A7D1,-2.17484724387676,1.50191884012907,#FF9F45,#F24C3D
cd826412fb7b11ed8d7c62b1232be981,bortezomib,72,8,t_cd4_em,CD4 EM,#1C75BC,3.85162890091389,4.13024656744688,#FF9F45,#F24C3D
cced24befb8111edb32712c42668f295,bortezomib,72,2,t_cd4_em,CD4 EM,#1C75BC,6.01501715317219,-0.315609413292121,#FF9F45,#F24C3D
f8c946faff2111edaa5fda2b1e723be2,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-6.08230006560833,-3.19977028397829,#FF9F45,#F24C3D
47b6ff00fb7b11ed8a1abe9d4c5fcb23,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.88349711761028,1.73839538069456,#FF9F45,#F24C3D
0f77a31afb8011ed8e8a7625f34dfd6b,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.70155227050335,-0.593261671345543,#FF9F45,#F24C3D
f05b3baefb7f11ed898e2a71e2203848,bortezomib,72,1,t_cd4_cm,CD4 CM,#00AEEF,9.51607620850056,-2.89019925622256,#FF9F45,#F24C3D
3d5f689cfb8211ed9d09f6494964bb81,bortezomib,72,2,t_cd4_cm,CD4 CM,#00AEEF,6.04511654510944,-0.109657985251259,#FF9F45,#F24C3D
b74bc462fb8111edb32712c42668f295,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.82099044189007,0.887133526522804,#FF9F45,#F24C3D
f3c90370fb7f11ed898e2a71e2203848,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.183843492122,0.540390002448249,#FF9F45,#F24C3D
46ee4892fb8211ed9d09f6494964bb81,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.14920890197308,0.956893968302894,#FF9F45,#F24C3D
c4ec5f2efb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.63800513610394,1.91322796316831,#FF9F45,#F24C3D
21e40688fb8011ed8e8a7625f34dfd6b,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.54831683501751,1.04898612471311,#FF9F45,#F24C3D
4a117990fb8211ed9d09f6494964bb81,bortezomib,72,10,t_cd4_treg,CD4 Treg,#E57A93,5.378745438008,4.24137775870054,#FF9F45,#F24C3D
bbf979c8fb8111edb32712c42668f295,bortezomib,72,2,t_cd4_cm,CD4 CM,#00AEEF,6.12078392639606,-0.256211367528748,#FF9F45,#F24C3D
bdcf769efb8111edb32712c42668f295,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.4250832809493,-3.54983956841738,#FF9F45,#F24C3D
b704dd52fb7e11ed84ffaefa3cccb57a,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.10291516646893,2.45561807127683,#FF9F45,#F24C3D
c9200618fb7b11ed8d7c62b1232be981,bortezomib,72,9,t_cd4_em,CD4 EM,#1C75BC,7.14717400207966,0.101744729001213,#FF9F45,#F24C3D
c6bd4048fb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.09884583816082,0.501378166396309,#FF9F45,#F24C3D
303a009cfb8111eda35df29f570c0793,bortezomib,72,5,t_cd4_cm,CD4 CM,#00AEEF,8.34903061523884,-1.43284423379214,#FF9F45,#F24C3D
48ed4230fb7b11ed933dc6f18f77c1a7,bortezomib,72,6,t_cd4_naive,CD4 Naive,#93A7D1,-1.84686028823406,1.4388640400955,#FF9F45,#F24C3D
9a747358fb8011edb519365d129239e0,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.99817645415814,3.04043238135068,#FF9F45,#F24C3D
8d8e6760fb8111ed99031af2246d8fa2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.56689822539837,3.09858410330503,#FF9F45,#F24C3D
8f2ed452fb8011edb519365d129239e0,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.54940163955242,-3.66949064759524,#FF9F45,#F24C3D
464ca69cfb7b11ed8a1abe9d4c5fcb23,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.65148341521771,2.70097320051878,#FF9F45,#F24C3D
df2462fefb8711edbbcffe1e90e63656,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.60300052032025,1.95092575522153,#FF9F45,#F24C3D
7694212cfb8011eda0a9e2763843e521,bortezomib,72,4,t_cd4_em,CD4 EM,#1C75BC,4.55060851707905,-3.20525057343752,#FF9F45,#F24C3D
f702281efb7f11ed898e2a71e2203848,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,-7.59351336822064,-0.697764289658379,#FF9F45,#F24C3D
9c227f60fb8011edb519365d129239e0,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.64526545867474,-3.51917941598208,#FF9F45,#F24C3D
cc43e15efb7e11edb9e426a51887eecf,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.56227147445233,-3.74772579697878,#FF9F45,#F24C3D
fd38a97eff2111edaa5fda2b1e723be2,bortezomib,72,9,t_cd4_cm,CD4 CM,#00AEEF,7.41436970367878,0.28098236294477,#FF9F45,#F24C3D
39787e7cfb8111eda35df29f570c0793,bortezomib,72,4,t_cd4_em,CD4 EM,#1C75BC,4.33970630302875,-3.27279646424563,#FF9F45,#F24C3D
7e6f6ffafb8011eda0a9e2763843e521,bortezomib,72,7,t_cd4_em,CD4 EM,#1C75BC,9.93449318542927,-1.68708891896517,#FF9F45,#F24C3D
f9ef2e8cff2111edaa5fda2b1e723be2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.00818574294598,0.945563006121803,#FF9F45,#F24C3D
460473eafb7b11ed8a1abe9d4c5fcb23,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.96990048751385,-2.34973509339602,#FF9F45,#F24C3D
caa8533efb7e11edb9e426a51887eecf,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-8.05770003661663,0.656543600279975,#FF9F45,#F24C3D
9170937cfb8011edb519365d129239e0,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.98243605956585,1.44475202532499,#FF9F45,#F24C3D
26139072fb8311ed9fae72654f839162,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.26772963866741,0.55976175041883,#FF9F45,#F24C3D
c99617fefb7b11ed8d7c62b1232be981,bortezomib,72,8,t_cd4_naive,CD4 Naive,#93A7D1,2.48398637905567,4.49255220862119,#FF9F45,#F24C3D
caf92106fb7e11edb9e426a51887eecf,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,9.15881931915729,-3.33643729714663,#FF9F45,#F24C3D
778248e8fb8011eda0a9e2763843e521,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.50701606139691,1.12594394655912,#FF9F45,#F24C3D
74ba0e16fb8011eda0a9e2763843e521,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.1379662765548,-4.34540374306948,#FF9F45,#F24C3D
cc83af98fb8111edb32712c42668f295,bortezomib,72,12,t_cd4_naive,CD4 Naive,#93A7D1,-5.15432488784344,2.30304186316221,#FF9F45,#F24C3D
4b5b960afb8211ed9d09f6494964bb81,bortezomib,72,10,t_cd4_cm,CD4 CM,#00AEEF,7.61654341354816,1.65381782026975,#FF9F45,#F24C3D
91653cb6fb8011edb519365d129239e0,bortezomib,72,10,t_cd4_cm,CD4 CM,#00AEEF,7.90707218780964,1.42077724905698,#FF9F45,#F24C3D
2763cf78fb8311ed9fae72654f839162,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.06737649306805,-3.9301419976166,#FF9F45,#F24C3D
4ceaaf70fb8111eda35df29f570c0793,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-4.98632705077679,-3.47753913430483,#FF9F45,#F24C3D
83de8646fb8111ed99031af2246d8fa2,bortezomib,72,11,t_cd4_cm,CD4 CM,#00AEEF,9.57808506622761,1.19551377268522,#FF9F45,#F24C3D
4adb769cfb8111eda35df29f570c0793,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.50625073775799,-4.01667482880862,#FF9F45,#F24C3D
3f187c10fb8111eda35df29f570c0793,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.337921263127,-3.99070651559145,#FF9F45,#F24C3D
3bb472aefb8111eda35df29f570c0793,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.73899829253704,0.964893865306068,#FF9F45,#F24C3D
f36acc88fb7f11ed898e2a71e2203848,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-6.28264224395306,-2.11046345261843,#FF9F45,#F24C3D
fb06684eff2111edaa5fda2b1e723be2,bortezomib,72,5,t_cd4_cm,CD4 CM,#00AEEF,7.10399496689289,-2.08281798390658,#FF9F45,#F24C3D
cf30e48efb7e11edb9e426a51887eecf,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.0935803665206,-2.16728897122652,#FF9F45,#F24C3D
103eca9efb8011ed8e8a7625f34dfd6b,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,10.2093507064864,-3.04000766305239,#FF9F45,#F24C3D
44178e6efb7b11ed8a1abe9d4c5fcb23,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-5.70106160506756,2.76192586394041,#FF9F45,#F24C3D
97ddaf64fb8111ed99031af2246d8fa2,bortezomib,72,1,t_cd4_em,CD4 EM,#1C75BC,8.75012600555866,-2.08935649422915,#FF9F45,#F24C3D
fdcee31cff2111edaa5fda2b1e723be2,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.01804244384319,0.325028109271217,#FF9F45,#F24C3D
bf16ca52fb8111edb32712c42668f295,bortezomib,72,4,t_cd4_em,CD4 EM,#1C75BC,3.46952569618671,-2.96480138329775,#FF9F45,#F24C3D
d627b138fb8711edbbcffe1e90e63656,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-4.99445903167278,-3.77065260438235,#FF9F45,#F24C3D
bab7806cfb7e11ed84ffaefa3cccb57a,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.58719622954876,1.61090307207792,#FF9F45,#F24C3D
12a7fbcafb8011ed8e8a7625f34dfd6b,bortezomib,72,3,t_cd4_naive,CD4 Naive,#93A7D1,-5.0029934631303,-3.92567117242129,#FF9F45,#F24C3D
90cf576efb8011edb519365d129239e0,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.52032935485394,0.548923062998939,#FF9F45,#F24C3D
cac3a1acfb7e11edb9e426a51887eecf,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.64658629760296,2.77650659056394,#FF9F45,#F24C3D
d3891b4cfb8711edbbcffe1e90e63656,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-7.73046958312542,1.95863192053526,#FF9F45,#F24C3D
cc4835c2fb7b11ed8d7c62b1232be981,bortezomib,72,0,t_cd4_naive,CD4 Naive,#93A7D1,-6.4699934707597,3.07720105620115,#FF9F45,#F24C3D
