barcodes,treatment,timepoint,UMAP_1,UMAP_2,treatment_color,timepoint_color
2db4ad86fb8111eda35df29f570c0793,dmso,24,-1.97302433929767,3.29054827160213,#000000,#F29727
2db5b3acfb8111eda35df29f570c0793,dmso,24,1.27308657684002,9.43744463390682,#000000,#F29727
2db85e7cfb8111eda35df29f570c0793,dmso,24,1.07694199599896,8.89736551708553,#000000,#F29727
2dbf2874fb8111eda35df29f570c0793,dmso,24,-0.958416134932894,7.20042271084163,#000000,#F29727
2df6a268fb8111eda35df29f570c0793,dmso,24,-0.0245533593687004,8.07282251781795,#000000,#F29727
2df88042fb8111eda35df29f570c0793,dmso,24,-0.445886925676722,7.77082962459896,#000000,#F29727
2df8b148fb8111eda35df29f570c0793,dmso,24,-0.724320591309924,7.90667242473934,#000000,#F29727
2e2a75e8fb8111eda35df29f570c0793,dmso,24,0.20652088441525,7.68661493725155,#000000,#F29727
2e393344fb8111eda35df29f570c0793,dmso,24,-0.330081316525001,7.50589794582699,#000000,#F29727
2e400048fb8111eda35df29f570c0793,dmso,24,0.237612276455503,8.08444780773494,#000000,#F29727
2e4733ccfb8111eda35df29f570c0793,dmso,24,0.12021666683827,2.30934113926265,#000000,#F29727
2e48d696fb8111eda35df29f570c0793,dmso,24,0.196683257004362,2.24220413631771,#000000,#F29727
2e4ebcb4fb8111eda35df29f570c0793,dmso,24,-0.839338303426165,7.37846798366878,#000000,#F29727
2e4f3c0cfb8111eda35df29f570c0793,dmso,24,-0.629178435424227,3.49903125233028,#000000,#F29727
2e56795efb8111eda35df29f570c0793,dmso,24,-0.644725412944216,8.63940996593807,#000000,#F29727
2e58c772fb8111eda35df29f570c0793,dmso,24,0.362502305885892,1.31711120075557,#000000,#F29727
2e613826fb8111eda35df29f570c0793,dmso,24,1.90440013923321,5.78409761852596,#000000,#F29727
2e6af2e4fb8111eda35df29f570c0793,dmso,24,-1.32539311132755,7.44480509228084,#000000,#F29727
2e6b2d54fb8111eda35df29f570c0793,dmso,24,3.92332437553082,3.0507511562762,#000000,#F29727
2e761066fb8111eda35df29f570c0793,dmso,24,0.144948630711179,2.84678668445919,#000000,#F29727
2e835ed8fb8111eda35df29f570c0793,dmso,24,-1.72580632648792,7.71579355663631,#000000,#F29727
2e8673b6fb8111eda35df29f570c0793,dmso,24,-0.984894306281466,7.67246431774471,#000000,#F29727
2edffc56fb8111eda35df29f570c0793,dmso,24,0.00255945243511735,2.40624398655269,#000000,#F29727
2eeab542fb8111eda35df29f570c0793,dmso,24,0.114374815603834,6.77282471126888,#000000,#F29727
2eec7756fb8111eda35df29f570c0793,dmso,24,-1.89272543869342,6.8876504368243,#000000,#F29727
2eeeff9efb8111eda35df29f570c0793,dmso,24,0.324439196964841,-2.50775390201237,#000000,#F29727
2efdecf2fb8111eda35df29f570c0793,dmso,24,0.787783532520872,8.85408396190975,#000000,#F29727
2f0f4326fb8111eda35df29f570c0793,dmso,24,0.0202262691465431,7.72388882107113,#000000,#F29727
2f30f6ecfb8111eda35df29f570c0793,dmso,24,0.948312669178587,6.66037458843563,#000000,#F29727
2f365bfafb8111eda35df29f570c0793,dmso,24,0.754905968090635,9.11335081524227,#000000,#F29727
2f9e5b60fb8111eda35df29f570c0793,dmso,24,-0.196546346763033,7.67444796032284,#000000,#F29727
30368b1afb8111eda35df29f570c0793,dmso,24,-0.771197766879458,7.14008135265682,#000000,#F29727
303ceed8fb8111eda35df29f570c0793,dmso,24,-0.428158067980666,10.7429580158648,#000000,#F29727
