aifi_cell_type,fg,bg,direction,feature,tf_gene,Enrichment,nomP,adjP,mlog10Padj,mlog10p,BackgroundProporition,nBackground,BackgroundFrequency,CompareProportion,nCompare,CompareFrequency,timepoint,tf_adjP,tf_logFC,tf_direction,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,color
t_cd4_cm,dexamethasone,dmso,up,ARID3A_6,ARID3A,1.3791044434583,3.54895097442304e-05,0.000319405587698073,3.49565749056068,4.4499,0.295131776124943,72737,21467,0.407017543859649,285,116,24,0.733555842468288,-0.0163628511149615,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARID5B_7,ARID5B,1.48622316061911,0.0627191263230924,0.564472136907832,0.248357490560675,1.2026,0.0424955662180183,72737,3091,0.0631578947368421,285,18,24,1.68946209322984e-32,0.542128212252415,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,ARID3B_8,ARID3B,1.85957764299224,1.76238180310217e-05,0.000158614362279195,3.79965749056068,4.7539,0.0924563839586455,72737,6725,0.171929824561404,285,49,24,0.433701652285844,0.0589750282326844,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARID5A_9,ARID5A,1.1962603461963,0.197151461099659,1,0,0.7052,0.0762610500845512,72737,5547,0.0912280701754386,285,26,24,3.03417395677314e-07,0.146478581407155,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,ARID2_11,ARID2,1.38266840917191,0.163342801529616,1,0,0.7869,0.0304521770213234,72737,2215,0.0421052631578947,285,12,24,0.000426913754496342,-0.197241466104534,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,MAX_14,MAX,1.2885707484236,0.182263623485777,1,0,0.7393,0.0435679227903268,72737,3169,0.056140350877193,285,16,24,0.762395762067239,0.0326730453251192,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,TCF3_21,TCF3,1.22763979180041,0.152405275379729,1,0,0.817,0.0800280462488142,72737,5821,0.0982456140350877,285,28,24,0.804227431851997,-0.0107309177818122,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,HIF1A_24,HIF1A,0.572750322844814,0.938425931237018,1,0,0.0276,0.0306309031167081,72737,2228,0.0175438596491228,285,5,24,0.736061851187233,-0.0473215109159428,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,USF2_26,USF2,0.711793583742436,0.88879171988482,1,0,0.0512,0.0443653161389664,72737,3227,0.0315789473684211,285,9,24,0.847301369208449,0.00224573399818608,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,AHR_28,AHR,0.734556410213253,0.866961875758217,1,0,0.062,0.0429905000206222,72737,3127,0.0315789473684211,285,9,24,0.0190037749769355,0.0830563307004342,up,CD4 CM,#00AEEF,2,6,orangered
t_cd4_cm,dexamethasone,dmso,up,MLX_29,MLX,0.852619856992146,0.707782792609003,1,0,0.1501,0.0246916974854613,72737,1796,0.0210526315789474,285,6,24,0.809510954563,0.016280955142852,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ID2_35,ID2,1.02455858634945,0.513570417848355,1,0,0.2894,0.0342466695079533,72737,2491,0.0350877192982456,285,10,24,0.482527348582485,-0.0426408042878061,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ID3_38,ID3,1.18834802355882,0.185267823707227,1,0,0.7322,0.088579402504915,72737,6443,0.105263157894737,285,30,24,0.0411068222013839,-0.0595902374919725,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,MXI1_40,MXI1,0.885612928219603,0.700970917584383,1,0,0.1543,0.0435816709515102,72737,3170,0.0385964912280702,285,11,24,0.915997135151089,0.0203433444753838,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARNTL_50,ARNTL,0.760708029387926,0.802601560872627,1,0,0.0955,0.0276750484622682,72737,2013,0.0210526315789474,285,6,24,0.869485826690229,0.0209168588814397,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,BHLHE40_51,BHLHE40,0.624003774717969,0.904690437738119,1,0,0.0435,0.0281149896201383,72737,2045,0.0175438596491228,285,5,24,4.43618793058569e-05,-0.0997830287836218,dn,CD4 CM,#00AEEF,2,6,dodgerblue
t_cd4_cm,dexamethasone,dmso,up,CLOCK_53,CLOCK,0.792601067887109,0.7445605127728,1,0,0.1281,0.0177076316042729,72737,1288,0.0140350877192982,285,4,24,0.683660203868115,0.04510166100046,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MYC_55,MYC,0.778102267864784,0.830806718701914,1,0,0.0805,0.0450939686816888,72737,3280,0.0350877192982456,285,10,24,0.929660334273353,0.00621886250324988,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,TCF12_56,TCF12,0.847071113942607,0.872770382442416,1,0,0.0591,0.140836163163177,72737,10244,0.119298245614035,285,34,24,0.9033399257611,-0.0103587543899721,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,ARNT_57,ARNT,0.708445645689519,0.817711301253468,1,0,0.0874,0.0198111002653395,72737,1441,0.0140350877192982,285,4,24,0.696174899313222,-0.0149841045967568,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,USF1_60,USF1,1.03988521945142,0.479071130003074,1,0,0.3196,0.0472386818263057,72737,3436,0.0491228070175439,285,14,24,0.724319533954023,-0.017728668069428,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MLXIP_78,MLXIP,0.802570892640406,0.748169500511154,1,0,0.126,0.0218595762816723,72737,1590,0.0175438596491228,285,5,24,0.0806192949349151,0.0721011422903044,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,SREBF2_99,SREBF2,0.971794550631696,0.583042213843286,1,0,0.2343,0.0577697732928221,72737,4202,0.056140350877193,285,16,24,0.920389686679409,-0.0196809177025882,dn,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,MGA_103,MGA,1.47398367576696,0.0289201139621549,0.260281025659394,0.584557490560675,1.5388,0.06427265353259,72737,4675,0.0947368421052632,285,27,24,0.44244640534272,0.0598817690351947,up,CD4 CM,#00AEEF,2,6,gray60
t_cd4_cm,dexamethasone,dmso,up,NFE2L1_106,NFE2L1,1.37306008801425,0.126502759730727,1,0,0.8979,0.0408870313595557,72737,2974,0.056140350877193,285,16,24,0.949743531666435,0.00946734391614132,up,CD4 CM,#00AEEF,2,6,gray60
