subject,treatment,stim,population,feature,group,count,frac
PB04863,BD,no,CD4,CD40L,neg,46819,0.929760108030821
PB04863,BD,no,CD4,CD40L,pos,3537,0.0702398919691794
PB04863,BD,no,CD4,CD69,neg,43502,0.851194552605318
PB04863,BD,no,CD4,CD69,mid,7499,0.14673136752304
PB04863,BD,no,CD4,CD69,pos,106,0.00207407987164185
PB04863,BD,yes,CD8,CD40L,neg,3041,0.989264801561483
PB04863,BD,yes,CD8,CD40L,pos,33,0.0107351984385166
PB04863,BD,yes,CD8,CD69,neg,123,0.0409317803660566
PB04863,BD,yes,CD8,CD69,mid,2507,0.834276206322795
PB04863,BD,yes,CD8,CD69,pos,375,0.124792013311148
PB04863,BD,yes,CD4,CD40L,neg,6879,0.637712060813943
PB04863,BD,yes,CD4,CD40L,pos,3908,0.362287939186057
PB04863,BD,yes,CD4,CD69,neg,2922,0.266508573513316
PB04863,BD,yes,CD4,CD69,mid,6747,0.615377599416271
PB04863,BD,yes,CD4,CD69,pos,1295,0.118113827070412
PB04863,BL,no,CD8,CD40L,neg,8228,0.995162070633769
PB04863,BL,no,CD8,CD40L,pos,40,0.00483792936623125
PB04863,BL,no,CD8,CD69,neg,1632,0.199950992403823
PB04863,BL,no,CD8,CD69,mid,6434,0.7882871845136
PB04863,BL,no,CD8,CD69,pos,96,0.0117618230825778
PB04863,BL,no,CD4,CD40L,neg,46223,0.93379797979798
PB04863,BL,no,CD4,CD40L,pos,3277,0.0662020202020202
PB04863,BL,no,CD4,CD69,neg,45149,0.900979824788969
PB04863,BL,no,CD4,CD69,mid,4844,0.0966654028057712
PB04863,BL,no,CD4,CD69,pos,118,0.00235477240526032
PB04863,BL,yes,CD8,CD40L,neg,3252,0.979223125564589
PB04863,BL,yes,CD8,CD40L,pos,69,0.020776874435411
PB04863,BL,yes,CD8,CD69,neg,265,0.0820687519355838
PB04863,BL,yes,CD8,CD69,mid,2227,0.689687209662434
PB04863,BL,yes,CD8,CD69,pos,737,0.228244038401982
PB04863,BL,yes,CD4,CD40L,neg,5317,0.568419927303827
PB04863,BL,yes,CD4,CD40L,pos,4037,0.431580072696173
PB04863,BL,yes,CD4,CD69,neg,3005,0.315518689626207
PB04863,BL,yes,CD4,CD69,mid,3858,0.405081898362033
PB04863,BL,yes,CD4,CD69,pos,2661,0.27939941201176
PB04863,DL,no,CD8,CD40L,neg,11139,0.993134807417974
PB04863,DL,no,CD8,CD40L,pos,77,0.00686519258202568
PB04863,DL,no,CD8,CD69,neg,2468,0.222904624277457
PB04863,DL,no,CD8,CD69,mid,8251,0.745213150289017
PB04863,DL,no,CD8,CD69,pos,353,0.031882225433526
PB04863,DL,no,CD4,CD40L,neg,51178,0.925293798589767
PB04863,DL,no,CD4,CD40L,pos,4132,0.0747062014102332
PB04863,DL,no,CD4,CD69,neg,51722,0.923557666553578
PB04863,DL,no,CD4,CD69,mid,3543,0.0632644679749299
PB04863,DL,no,CD4,CD69,pos,738,0.0131778654714926
PB04863,DL,yes,CD8,CD40L,neg,3192,0.890376569037657
PB04863,DL,yes,CD8,CD40L,pos,393,0.109623430962343
PB04863,DL,yes,CD8,CD69,neg,97,0.0278815751652774
PB04863,DL,yes,CD8,CD69,mid,1404,0.403564242598448
PB04863,DL,yes,CD8,CD69,pos,1978,0.568554182236275
PB04863,DL,yes,CD4,CD40L,neg,7604,0.470079129574679
PB04863,DL,yes,CD4,CD40L,pos,8572,0.529920870425321
PB04863,DL,yes,CD4,CD69,neg,2399,0.146907532149418
PB04863,DL,yes,CD4,CD69,mid,4655,0.285058175137783
PB04863,DL,yes,CD4,CD69,pos,9276,0.568034292712798
PB04863,BDL,no,CD8,CD40L,neg,9877,0.99486301369863
PB04863,BDL,no,CD8,CD40L,pos,51,0.00513698630136986
PB04863,BDL,no,CD8,CD69,neg,1437,0.146066273632852
PB04863,BDL,no,CD8,CD69,mid,8336,0.847326692417158
PB04863,BDL,no,CD8,CD69,pos,65,0.00660703394998984
PB04863,BDL,no,CD4,CD40L,neg,47461,0.86382250696176
PB04863,BDL,no,CD4,CD40L,pos,7482,0.13617749303824
PB04863,BDL,no,CD4,CD69,neg,47309,0.841767196896908
PB04863,BDL,no,CD4,CD69,mid,8720,0.155154620831999
PB04863,BDL,no,CD4,CD69,pos,173,0.00307818227109356
PB04863,BDL,yes,CD8,CD40L,neg,4697,0.985936188077246
PB04863,BDL,yes,CD8,CD40L,pos,67,0.014063811922754
PB04863,BDL,yes,CD8,CD69,neg,466,0.0995513779107028
PB04863,BDL,yes,CD8,CD69,mid,3810,0.813928647724845
PB04863,BDL,yes,CD8,CD69,pos,405,0.086519974364452
PB04863,BDL,yes,CD4,CD40L,neg,9648,0.585401371276015
PB04863,BDL,yes,CD4,CD40L,pos,6833,0.414598628723985
PB04863,BDL,yes,CD4,CD69,neg,7127,0.419482048263685
PB04863,BDL,yes,CD4,CD69,mid,8359,0.491995291347852
PB04863,BDL,yes,CD4,CD69,pos,1504,0.0885226603884638
PB04864,DMSO,no,CD8,CD40L,neg,22561,0.985626911314985
PB04864,DMSO,no,CD8,CD40L,pos,329,0.0143730886850153
PB04864,DMSO,no,CD8,CD69,neg,2718,0.119968220338983
PB04864,DMSO,no,CD8,CD69,mid,18683,0.824638064971751
PB04864,DMSO,no,CD8,CD69,pos,1255,0.0553937146892655
PB04864,DMSO,no,CD4,CD40L,neg,56262,0.946836976826374
PB04864,DMSO,no,CD4,CD40L,pos,3159,0.0531630231736255
PB04864,DMSO,no,CD4,CD69,neg,54373,0.911091003535582
PB04864,DMSO,no,CD4,CD69,mid,4183,0.0700916570317867
PB04864,DMSO,no,CD4,CD69,pos,1123,0.0188173394326312
PB04864,DMSO,yes,CD8,CD40L,neg,6980,0.941716135995683
PB04864,DMSO,yes,CD8,CD40L,pos,432,0.0582838640043173
PB04864,DMSO,yes,CD8,CD69,neg,73,0.00998495417863493
PB04864,DMSO,yes,CD8,CD69,mid,1992,0.272466146901929
PB04864,DMSO,yes,CD8,CD69,pos,5246,0.717548898919437
PB04864,DMSO,yes,CD4,CD40L,neg,7281,0.441406486814186
PB04864,DMSO,yes,CD4,CD40L,pos,9214,0.558593513185814
PB04864,DMSO,yes,CD4,CD69,neg,1335,0.0800743761996161
PB04864,DMSO,yes,CD4,CD69,mid,3355,0.201235604606526
PB04864,DMSO,yes,CD4,CD69,pos,11982,0.718690019193858
PB04864,B,no,CD8,CD40L,neg,21015,0.998005413876621
PB04864,B,no,CD8,CD40L,pos,42,0.0019945861233794
PB04864,B,no,CD8,CD69,neg,2591,0.124119760479042
PB04864,B,no,CD8,CD69,mid,18168,0.870323353293413
PB04864,B,no,CD8,CD69,pos,116,0.00555688622754491
PB04864,B,no,CD4,CD40L,neg,55778,0.943758248451829
PB04864,B,no,CD4,CD40L,pos,3324,0.056241751548171
PB04864,B,no,CD4,CD69,neg,56086,0.941292964554243
PB04864,B,no,CD4,CD69,mid,3466,0.0581699785177229
PB04864,B,no,CD4,CD69,pos,32,0.000537056928034372
PB04864,B,yes,CD8,CD40L,neg,7792,0.981113069755729
PB04864,B,yes,CD8,CD40L,pos,150,0.018886930244271
PB04864,B,yes,CD8,CD69,neg,165,0.0213896810993
PB04864,B,yes,CD8,CD69,mid,5506,0.713767176562095
PB04864,B,yes,CD8,CD69,pos,2043,0.264843142338605
PB04864,B,yes,CD4,CD40L,neg,6017,0.491946692829695
PB04864,B,yes,CD4,CD40L,pos,6214,0.508053307170305
PB04864,B,yes,CD4,CD69,neg,2075,0.169373928658885
PB04864,B,yes,CD4,CD69,mid,4970,0.405681168884173
PB04864,B,yes,CD4,CD69,pos,5206,0.424944902456942
PB04864,D,no,CD8,CD40L,neg,25057,0.997611179679102
PB04864,D,no,CD8,CD40L,pos,60,0.0023888203208982
PB04864,D,no,CD8,CD69,neg,5345,0.215480749848821
PB04864,D,no,CD8,CD69,mid,19214,0.774601894779278
PB04864,D,no,CD8,CD69,pos,246,0.00991735537190083
PB04864,D,no,CD4,CD40L,neg,58295,0.950219237477383
