subject,treatment,stim,population,feature,group,count,frac
PB04865,BL,no,CD8,CD69,mid,11201,0.781974308852276
PB04865,BL,no,CD8,CD69,pos,96,0.00670203853672159
PB04865,BL,no,CD4,CD40L,neg,48564,0.9231646580238
PB04865,BL,no,CD4,CD40L,pos,4042,0.0768353419762004
PB04865,BL,no,CD4,CD69,neg,51668,0.971111737618645
PB04865,BL,no,CD4,CD69,mid,1506,0.0283056103749648
PB04865,BL,no,CD4,CD69,pos,31,0.000582652006390377
PB04865,BL,yes,CD8,CD40L,neg,4439,0.988421287018481
PB04865,BL,yes,CD8,CD40L,pos,52,0.0115787129815186
PB04865,BL,yes,CD8,CD69,neg,257,0.0583825533848251
PB04865,BL,yes,CD8,CD69,mid,3582,0.813721035892776
PB04865,BL,yes,CD8,CD69,pos,563,0.127896410722399
PB04865,BL,yes,CD4,CD40L,neg,3488,0.531950587158762
PB04865,BL,yes,CD4,CD40L,pos,3069,0.468049412841238
PB04865,BL,yes,CD4,CD69,neg,2531,0.379346522781775
PB04865,BL,yes,CD4,CD69,mid,2811,0.421312949640288
PB04865,BL,yes,CD4,CD69,pos,1330,0.199340527577938
PB04865,DL,no,CD8,CD40L,neg,15983,0.996135867871611
PB04865,DL,no,CD8,CD40L,pos,62,0.00386413212838891
PB04865,DL,no,CD8,CD69,neg,4241,0.267942886024766
PB04865,DL,no,CD8,CD69,mid,11140,0.70381602223907
PB04865,DL,no,CD8,CD69,pos,447,0.0282410917361638
PB04865,DL,no,CD4,CD40L,neg,50443,0.923644553494589
PB04865,DL,no,CD4,CD40L,pos,4170,0.0763554465054108
PB04865,DL,no,CD4,CD69,neg,49719,0.901392363755031
PB04865,DL,no,CD4,CD69,mid,4250,0.0770513796729396
PB04865,DL,no,CD4,CD69,pos,1189,0.0215562565720294
PB04865,DL,yes,CD8,CD40L,neg,4179,0.966466234967623
PB04865,DL,yes,CD8,CD40L,pos,145,0.0335337650323774
PB04865,DL,yes,CD8,CD69,neg,217,0.0516789711836151
PB04865,DL,yes,CD8,CD69,mid,2050,0.488211478923553
PB04865,DL,yes,CD8,CD69,pos,1932,0.460109549892832
PB04865,DL,yes,CD4,CD40L,neg,3973,0.478386514148104
PB04865,DL,yes,CD4,CD40L,pos,4332,0.521613485851896
PB04865,DL,yes,CD4,CD69,neg,1868,0.221668446659547
PB04865,DL,yes,CD4,CD69,mid,2070,0.24563901744393
PB04865,DL,yes,CD4,CD69,pos,4489,0.532692535896523
PB04865,BDL,no,CD8,CD40L,neg,14013,0.996444570859703
PB04865,BDL,no,CD8,CD40L,pos,50,0.00355542914029723
PB04865,BDL,no,CD8,CD69,neg,1250,0.0901875901875902
PB04865,BDL,no,CD8,CD69,mid,11745,0.847402597402597
PB04865,BDL,no,CD8,CD69,pos,865,0.0624098124098124
PB04865,BDL,no,CD4,CD40L,neg,46340,0.86079429356912
PB04865,BDL,no,CD4,CD40L,pos,7494,0.13920570643088
PB04865,BDL,no,CD4,CD69,neg,37355,0.682071320320631
PB04865,BDL,no,CD4,CD69,mid,16406,0.29955995398689
PB04865,BDL,no,CD4,CD69,pos,1006,0.018368725692479
PB04865,BDL,yes,CD8,CD40L,neg,6334,0.991391454061669
PB04865,BDL,yes,CD8,CD40L,pos,55,0.00860854593833151
PB04865,BDL,yes,CD8,CD69,neg,376,0.0597109734794347
PB04865,BDL,yes,CD8,CD69,mid,5290,0.840082579005876
PB04865,BDL,yes,CD8,CD69,pos,631,0.10020644751469
PB04865,BDL,yes,CD4,CD40L,neg,5942,0.584152575697995
PB04865,BDL,yes,CD4,CD40L,pos,4230,0.415847424302005
PB04865,BDL,yes,CD4,CD69,neg,4239,0.405723583460949
PB04865,BDL,yes,CD4,CD69,mid,5098,0.487940275650842
PB04865,BDL,yes,CD4,CD69,pos,1111,0.106336140888208
